Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
33.92,6,69.73,476.17687428547424,0.13,0.24,0.05,0.13,0.91,0.0,0.0,91,24,13,5,0.91,0.02,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.0,0.01,0.0,1.0,1.0,12869,60,559,128.69,156.0549433806419,128.69,0.0021000695228576,100,24353.14535353535
34.88,6,67.18,415.6208195678412,0.19,0.08,0.0,0.18,0.93,0.0,0.0,93,8,19,0,0.91,0.01,0.01,0.0,0.0,0.0,0.0,0.94,0.05,0.0,0.01,0.0,0.0,0.99,0.99,15212,60,681,152.12,180.7178324059221,152.12,0.0025857996940612,100,32658.934949494964
29.36,6,74.82,134.44130927497665,0.05,0.01,0.24,0.05,0.66,0.0,0.0,66,1,5,24,0.83,0.03,0.01,0.0,0.0,0.0,0.0,0.9,0.09,0.0,0.01,0.0,0.0,0.99,0.99,9147,60,559,91.47,90.3352292096701,91.47,0.0074560403823852,100,8160.453636363635
37.72,6,64.0,2048.3800705208973,0.12,0.31,0.01,0.12,0.99,0.0,0.0,99,31,12,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12950,60,559,129.5,156.89148923360818,129.5,0.0004882311820983,100,24614.939393939392
35.68,6,65.9,650.0982671502527,0.16,0.14,0.02,0.16,0.92,0.0,0.0,92,14,16,2,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.02,0.0,0.03,0.0,0.0,0.97,0.97,15130,60,559,151.3,177.06458902578092,151.3,0.0015382385253906,100,31351.868686868696
38.4,6,64.0,3541.858285270349,0.05,0.32,0.01,0.05,0.99,0.0,0.0,99,32,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9651,60,559,96.51,106.20786698781323,96.51,0.0002823495864868,100,11280.111010101027
35.96,6,65.91,1008.665622963396,0.2,0.15,0.07,0.15,0.92,0.0,0.0,92,15,20,7,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,14441,60,559,144.41,174.18665797982874,144.41,0.0009914302825927,100,30340.991818181832
38.8,6,64.0,22055.550297102596,0.59,0.18,0.0,0.28,1.0,0.0,0.0,100,18,59,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20748,66,559,207.48,216.62724489851985,207.48,4.536151885986328e-05,100,46927.363232323296
38.92,6,64.0,21335.28663716364,0.06,0.13,0.12,0.05,0.88,0.0,0.0,88,13,6,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9769,60,559,97.69,104.90570031983944,97.69,4.688024520874023e-05,100,11005.205959595964
34.6,6,64.0,1353.7829908237336,0.17,0.16,0.13,0.11,0.87,0.0,0.0,87,16,17,13,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11888,60,559,118.88,144.61905933600977,118.88,0.0007400798797607,100,20914.672323232317
36.68,6,67.18,231.5548771230536,0.25,0.54,0.0,0.18,0.96,0.0,0.0,96,54,25,0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.01,0.0,0.0,0.99,0.99,15589,60,559,155.89,179.53553403100435,155.89,0.0043186497688293,100,32233.00797979792
31.68,6,69.09,138.60894818833324,0.12,0.24,0.18,0.13,0.73,0.0,0.0,73,24,12,18,0.82,0.02,0.01,0.0,0.0,0.0,0.0,0.91,0.08,0.0,0.01,0.0,0.0,0.99,0.99,12121,60,559,121.21,145.0761760892769,121.21,0.007214560508728,100,21047.09686868688
36.64,6,64.0,27188.072859272703,0.08,0.37,0.18,0.02,0.82,0.0,0.0,82,37,8,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8134,60,559,81.34,68.04324531004698,81.34,3.720998764038086e-05,100,4629.883232323231
34.08,6,63.36,688.8046968017408,0.11,0.09,0.03,0.1,0.94,0.0,0.0,94,9,11,3,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.01,0.0,0.0,0.99,0.99,11698,60,559,116.98,146.17168402984623,116.98,0.0014517998695373,100,21366.16121212121
39.6,6,64.0,645.3361151242959,0.08,0.14,0.0,0.08,0.98,0.0,0.0,98,14,8,0,0.97,0.0,0.01,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,10861,60,559,108.61,123.4705129808634,108.61,0.001636300086975,100,15244.967575757555
34.88,6,64.0,719.4346483704974,0.13,0.21,0.06,0.14,0.93,0.0,0.0,93,21,13,6,0.97,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13325,60,559,133.25,162.90856176072973,133.25,0.0013899898529052,100,26539.19949494949
35.8,6,67.82,1814.7497220094929,0.25,0.28,0.12,0.15,0.84,0.0,0.0,84,28,25,12,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,16035,60,1474,160.35,218.39133511319807,160.35,0.00055104970932,100,47694.77525252519
36.96,6,65.27,505.5997685547935,0.25,0.21,0.0,0.19,0.98,0.0,0.0,98,21,25,0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.01,0.0,0.01,0.0,0.0,0.99,0.99,16092,60,559,160.92,185.4114006061857,160.92,0.0019778585433959,100,34377.38747474749
35.44,6,71.64,229.48574079839275,0.08,0.35,0.0,0.11,0.94,0.0,0.0,94,35,8,0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.04,0.0,0.0,0.01,0.0,1.0,1.0,12720,60,1366,127.2,185.88554097463955,127.2,0.004357590675354,100,34553.434343434405
35.76,6,71.64,390.09777779431226,0.18,0.32,0.01,0.15,0.94,0.0,0.0,94,32,18,1,0.91,0.03,0.01,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,0.0,1.0,1.0,13341,60,559,133.41,156.8004647874991,133.41,0.0025634694099426,100,24586.385757575743
35.32,6,65.91,995.2929897915114,0.11,0.28,0.02,0.07,0.95,0.0,0.0,95,28,11,2,0.97,0.0,0.01,0.0,0.0,0.0,0.0,0.97,0.03,0.0,0.0,0.0,0.0,1.0,1.0,10537,60,559,105.37,124.6043966181195,105.37,0.001004741191864,100,15526.255656565629
38.28,6,64.0,4330.900605084361,0.09,0.28,0.0,0.06,0.99,0.0,0.0,99,28,9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10114,66,559,101.14,113.84146516941534,101.14,0.0002308988571166,100,12959.879191919206
37.12,6,64.0,534.2769759108737,0.32,0.22,0.0,0.19,1.0,0.0,0.0,100,22,32,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16251,66,567,162.51,188.9839122542156,162.51,0.0020298600196838,100,35714.919090909054
35.96,6,72.91,212.32692737011607,0.04,0.64,0.05,0.08,0.9,0.0,0.0,90,64,4,5,0.82,0.02,0.02,0.0,0.0,0.0,0.0,0.96,0.02,0.0,0.01,0.01,0.0,0.99,0.99,9245,60,908,92.45,101.31522715034116,92.45,0.0047097301483154,100,10264.775252525227
38.32,6,64.0,296.47109050901827,0.11,0.58,0.0,0.12,0.96,0.0,0.0,96,58,11,0,0.9,0.04,0.0,0.0,0.0,0.0,0.0,0.97,0.03,0.0,0.0,0.0,0.0,1.0,1.0,12947,60,1314,129.47,181.75316011591423,129.47,0.0033730101585388,100,33034.211212121154
36.52,6,64.0,4917.120750293083,0.26,0.37,0.07,0.17,0.93,0.0,0.0,93,37,26,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15271,60,559,152.71,180.70989614754515,152.71,0.0002033710479736,100,32656.06656565656
36.56,6,64.0,719.5124001392946,0.19,0.15,0.0,0.16,1.0,0.0,0.0,100,15,19,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14752,66,559,147.52,179.24490779293285,147.52,0.0013923788070678,100,32128.736969697
34.88,6,65.27,416.41307088834304,0.1,0.13,0.02,0.07,0.95,0.0,0.0,95,13,10,2,0.94,0.01,0.01,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.01,0.0,0.0,0.99,0.99,10374,60,559,103.74,123.8045559775894,103.74,0.0024014711380004,100,15327.568080808069
36.8,6,64.0,7576.416184971098,0.06,0.33,0.08,0.03,0.92,0.0,0.0,92,33,6,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8571,60,559,85.71,83.14928706485664,85.71,0.0001344585418701,100,6913.803939393935
36.6,6,65.27,573.8853215590926,0.19,0.21,0.03,0.15,0.96,0.0,0.0,96,21,19,3,0.97,0.01,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,14325,60,559,143.25,172.92652582334884,143.25,0.0017425203323364,100,29903.58333333333
39.72,6,63.36,791.5707785479862,0.2,0.48,0.0,0.08,0.99,0.0,0.0,99,48,20,0,0.96,0.02,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,10975,60,696,109.75,129.6167135219931,109.75,0.0012633109092712,100,16800.492424242424
34.96,6,70.36,374.26820432099424,0.15,0.24,0.07,0.09,0.83,0.0,0.0,83,24,15,7,0.87,0.02,0.0,0.0,0.0,0.0,0.0,0.94,0.04,0.0,0.02,0.0,0.0,0.98,0.98,11852,60,879,118.52,146.73101067923406,118.52,0.002671890258789,100,21529.989494949503
36.32,6,64.0,3344.020027585767,0.5,0.36,0.0,0.24,0.99,0.0,0.0,99,36,50,0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,18594,60,559,185.94,207.08275903828667,185.94,0.0003808999061584,100,42883.269090909096
35.24,6,71.64,696.3210880017,0.04,0.51,0.06,0.06,0.91,0.0,0.0,91,51,4,6,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.03,0.0,0.0,0.0,0.0,1.0,1.0,9860,60,559,98.6,107.06686290030694,98.6,0.001436128616333,100,11463.313131313123
35.64,6,68.45,322.7743344512388,0.22,0.23,0.05,0.17,0.9,0.0,0.0,90,23,22,5,0.9,0.03,0.0,0.0,0.0,0.0,0.0,0.95,0.03,0.0,0.02,0.0,0.0,0.98,0.98,14939,60,559,149.39,174.30055865508504,149.39,0.0030981516838073,100,30380.684747474737
38.84,6,64.0,494.6235696874569,0.11,0.17,0.06,0.07,0.94,0.0,0.0,94,17,11,6,0.99,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10687,60,567,106.87,124.674740866388,106.87,0.0020217490196228,100,15543.791010100997
35.96,6,67.18,423.56396069239713,0.16,0.25,0.02,0.16,0.95,0.0,0.0,95,25,16,2,0.94,0.01,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.01,0.0,0.0,0.99,0.99,14273,60,559,142.73,168.6447976599864,142.73,0.0023631596565246,100,28441.06777777776
34.8,6,64.0,449.4038384063499,0.09,0.23,0.04,0.09,0.9,0.0,0.0,90,23,9,4,0.89,0.0,0.01,0.0,0.0,0.0,0.0,0.94,0.06,0.0,0.0,0.0,0.0,1.0,1.0,12076,60,1314,120.76,172.36425606162308,120.76,0.0022251796722412,100,29709.436767676765
39.16,6,69.73,503.6642097704255,0.29,0.2,0.0,0.17,0.98,0.0,0.0,98,20,29,0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,15875,60,559,158.75,181.2309411783872,158.75,0.0019854712486267,100,32844.65404040404
36.76,6,64.0,900.9255619636778,0.23,0.25,0.0,0.23,1.0,0.0,0.0,100,25,23,0,0.96,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18079,66,679,180.79,203.7279972627396,180.79,0.0011099791526794,100,41505.096868686815
38.0,6,65.91,322.9838650681382,0.08,0.24,0.05,0.05,0.92,0.0,0.0,92,24,8,5,0.92,0.03,0.01,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,9098,60,547,90.98,84.32404787784473,90.98,0.0030961394309997,100,7110.545050505052
32.24,6,67.82,427.9155371868786,0.28,0.04,0.1,0.12,0.85,0.0,0.0,85,4,28,10,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.04,0.0,0.0,0.01,0.0,1.0,1.0,12408,60,559,124.08,151.8656822805781,124.08,0.0023389506340026,100,23063.18545454549
37.6,6,65.27,351.48869057745054,0.04,0.44,0.0,0.07,0.97,0.0,0.0,97,44,4,0,0.9,0.07,0.0,0.0,0.0,0.0,0.0,0.98,0.01,0.0,0.01,0.0,0.0,0.99,0.99,9686,60,559,96.86,97.43436226247375,96.86,0.0028450512886047,100,9493.454949494972
36.52,6,64.0,800.6215151914271,0.18,0.31,0.08,0.07,0.92,0.0,0.0,92,31,18,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10467,60,559,104.67,124.01197848627685,104.67,0.0012490391731262,100,15378.970808080792
35.44,6,69.73,440.5693583846541,0.19,0.14,0.0,0.18,0.96,0.0,0.0,96,14,19,0,0.83,0.04,0.01,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,0.0,1.0,1.0,17466,60,1474,174.66,248.1509079800297,174.66,0.0023743104934692,100,61578.87313131317
36.32,6,69.09,217.59191865951516,0.14,0.07,0.0,0.18,0.93,0.0,0.0,93,7,14,0,0.87,0.04,0.0,0.0,0.0,0.0,0.0,0.94,0.05,0.0,0.01,0.0,0.0,0.99,0.99,14255,60,559,142.55,164.68742201424178,142.55,0.0045959091186523,100,27121.946969696968
38.8,6,64.0,151967.53623188406,0.19,0.12,0.06,0.13,0.93,0.0,0.0,93,12,19,6,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,13587,60,559,135.87,163.4319835048307,135.87,6.589889526367188e-06,100,26710.013232323257
34.4,6,62.72,267.88613939799603,0.04,0.34,0.19,0.03,0.78,0.0,0.0,78,34,4,19,0.9,0.02,0.01,0.0,0.0,0.0,0.0,0.97,0.01,0.0,0.02,0.0,0.0,0.98,0.98,7619,60,547,76.19,48.38684498576826,76.19,0.0037332296371459,100,2341.286767676768
38.24,6,64.0,3322.826336679157,0.09,0.54,0.06,0.09,0.94,0.0,0.0,94,54,9,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11589,60,559,115.89,138.03687803253766,115.89,0.0003009605407714,100,19054.17969696968
35.16,6,64.0,1097.850264496253,0.03,0.44,0.16,0.04,0.83,0.0,0.0,83,44,3,16,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,9225,60,818,92.25,110.4541931656684,92.25,0.0009109902381896,100,12200.128787878788
37.0,6,64.0,319.06863662435546,0.39,0.09,0.0,0.19,0.99,0.0,0.0,99,9,39,0,0.96,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15884,66,559,158.84,183.88092985308825,158.84,0.0031341409683227,100,33812.196363636365
37.64,6,67.82,791.9294754272314,0.02,0.17,0.06,0.08,0.92,0.0,0.0,92,17,2,6,0.89,0.08,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,16388,60,4410,163.88,485.3369605259065,163.88,0.0012627482414245,100,235551.96525252532
33.68,6,63.36,354.3863325278402,0.13,0.16,0.12,0.13,0.85,0.0,0.0,85,16,13,12,0.97,0.0,0.01,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.01,0.0,0.0,0.99,0.99,12713,60,559,127.13,156.7031972239304,127.13,0.0028217911720275,100,24555.892020202027
37.52,6,64.0,760.6989798231693,0.24,0.2,0.09,0.16,0.91,0.0,0.0,91,20,24,9,0.99,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14902,60,567,149.02,176.21669281961584,149.02,0.0013145899772644,100,31052.322828282853
34.88,6,64.0,579.4918415562526,0.1,0.29,0.08,0.11,0.91,0.0,0.0,91,29,10,8,0.96,0.03,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,12394,60,696,123.94,155.0254993687988,123.94,0.0017259502410888,100,24032.90545454543
36.44,6,63.39,429.94998631517336,0.14,0.15,0.0,0.14,0.99,0.0,0.0,99,15,14,0,0.91,0.08,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,21090,60,1514,210.9,346.423589021162,210.9,0.0023258805274963,100,120009.30303030294
34.36,6,74.18,117.63694216602885,0.22,0.26,0.02,0.16,0.86,0.0,0.0,86,26,22,2,0.81,0.03,0.0,0.0,0.0,0.0,0.0,0.89,0.09,0.0,0.02,0.0,0.0,0.98,0.98,14771,60,559,147.71,166.28904462903256,147.71,0.0085009694099426,100,27652.046363636386
37.32,6,64.0,495.3514271913342,0.53,0.28,0.0,0.34,0.97,0.0,0.0,97,28,53,0,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,23034,60,567,230.34,226.66814705398932,230.34,0.0020187783241271,100,51378.44888888894
38.52,6,63.36,662.8659208253457,0.18,0.36,0.01,0.14,0.94,0.0,0.0,94,36,18,1,0.95,0.0,0.01,0.0,0.0,0.0,0.0,0.95,0.04,0.0,0.01,0.0,0.0,0.99,0.99,14115,60,559,141.15,168.13398787511073,141.15,0.0015086221694946,100,28269.037878787884
35.36,6,65.9,336.3912185317756,0.16,0.21,0.0,0.14,0.94,0.0,0.0,94,21,16,0,0.9,0.02,0.0,0.0,0.0,0.0,0.0,0.94,0.03,0.0,0.03,0.0,0.0,0.97,0.97,16477,60,2962,164.77,324.7763754345504,164.77,0.0029727387428283,100,105479.69404040404
34.32,6,74.82,291.6062558009379,0.26,0.21,0.02,0.19,0.93,0.0,0.0,93,21,26,2,0.84,0.07,0.0,0.0,0.0,0.0,0.0,0.95,0.04,0.0,0.01,0.0,0.0,0.99,0.99,16037,60,1474,160.37,214.9306984856168,160.37,0.0034293007850646,100,46195.2051515151
33.48,6,70.37,242.0029979886473,0.27,0.15,0.0,0.13,0.9,0.0,0.0,90,15,27,0,0.9,0.0,0.01,0.0,0.0,0.0,0.0,0.9,0.09,0.0,0.01,0.0,0.0,0.99,0.99,13894,60,559,138.94,161.50415574601277,138.94,0.0041321992874145,100,26083.59232323235
36.6,6,64.63,249.35727084752736,0.12,0.55,0.0,0.1,0.95,0.0,0.0,95,55,12,0,0.86,0.07,0.0,0.0,0.0,0.0,0.0,0.96,0.02,0.0,0.02,0.0,0.0,0.98,0.98,11386,60,559,113.86,130.95060522999125,113.86,0.0040103292465209,100,17148.061010101013
38.48,6,71.64,355.0871822310117,0.37,0.19,0.02,0.1,0.93,0.0,0.0,93,19,37,2,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,1.0,1.0,12676,60,559,126.76,145.42936221389195,126.76,0.0028162217140197,100,21149.699393939383
36.44,6,67.82,309.2558416288358,0.02,0.57,0.12,0.06,0.86,0.0,0.0,86,57,2,12,0.92,0.06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8914,60,728,89.14,94.35105519368403,89.14,0.0032335782051086,100,8902.121616161612
36.64,6,67.18,311.55091192973754,0.23,0.4,0.03,0.24,0.91,0.0,0.0,91,40,23,3,0.88,0.07,0.0,0.0,0.0,0.0,0.0,0.96,0.03,0.0,0.01,0.0,0.0,0.99,0.99,17538,60,567,175.38,194.8037489527873,175.38,0.0032097601890563,100,37948.50060606056
36.88,6,63.36,240.6055891713534,0.16,0.24,0.08,0.13,0.91,0.0,0.0,91,24,16,8,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,12985,60,567,129.85,158.2277718283923,129.85,0.0041561913490295,100,25036.027777777777
36.72,6,64.0,493.01425688248094,0.05,0.27,0.0,0.06,0.96,0.0,0.0,96,27,5,0,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.97,0.03,0.0,0.0,0.0,0.0,1.0,1.0,9745,60,547,97.45,105.87694162411748,97.45,0.0020283484458923,100,11209.92676767678
39.48,6,64.0,126754.42731943184,0.05,0.34,0.01,0.05,0.99,0.0,0.0,99,34,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9759,60,559,97.59,105.9838080829216,97.59,0.000283350944519,100,11232.567575757555
39.52,6,64.0,614.3376063368564,0.06,0.37,0.0,0.06,0.98,0.0,0.0,98,37,6,0,0.98,0.0,0.02,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,10330,66,559,103.3,113.77405395579152,103.3,0.001627779006958,100,12944.53535353536
35.36,6,62.72,288.0483699388302,0.13,0.35,0.01,0.12,0.94,0.0,0.0,94,35,13,1,0.94,0.01,0.0,0.0,0.0,0.0,0.0,0.95,0.03,0.0,0.02,0.0,0.0,0.98,0.98,12928,60,547,129.28,151.51984768479755,129.28,0.0034716510772705,100,22958.26424242425
40.6,6,65.27,459.92646534737065,0.03,0.08,0.01,0.03,0.96,0.0,0.0,96,8,3,1,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.01,0.0,0.0,0.99,0.99,9125,60,559,91.25,84.00449422801765,91.25,0.0026980805397033,100,7056.75505050505
30.68,6,67.82,607.8507641785334,0.0,0.15,0.46,0.0,0.52,0.0,0.0,52,15,0,46,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,7104,60,230,71.04,23.253508478628685,71.04,0.0016451501846313,100,540.7256565656562
30.16,6,67.82,696.6703762146001,0.34,0.15,0.31,0.23,0.65,0.0,0.0,65,15,34,31,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,0.0,1.0,1.0,18077,60,567,180.77,205.6104905844637,180.77,0.0014354085922241,100,42275.67383838382
34.96,6,65.91,433.6681593392675,0.34,0.13,0.15,0.16,0.83,0.0,0.0,83,13,34,15,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,14888,60,559,148.88,177.4668715705851,148.88,0.0023081612586975,100,31494.490505050548
36.0,6,64.0,461.5998547287445,0.13,0.06,0.03,0.15,0.94,0.0,0.0,94,6,13,3,0.94,0.03,0.0,0.0,0.0,0.0,0.0,0.97,0.03,0.0,0.0,0.0,0.0,1.0,1.0,14175,60,559,141.75,164.0467028229178,141.75,0.0021663784980773,100,26911.320707070707
36.44,6,63.36,439.6863085485219,0.22,0.08,0.02,0.15,0.95,0.0,0.0,95,8,22,2,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.01,0.0,0.0,0.99,0.99,14333,60,559,143.33,171.9001974367333,143.33,0.0022743606567382,100,29549.677878787883
